Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
India,11/01/2020,86.2,54,70.3,,84.3,0,,8.4,,1.2,0,54.56,Clear
India,11/02/2020,85.1,55.2,68.2,,83.4,0,,8.1,,1.4,0,55.6,Clear
India,11/03/2020,85.7,54.1,68.1,,83.8,0,,8.1,,1.4,0,59.77,Clear
India,11/04/2020,81.9,55.5,67.4,,81,0,,5.8,,0.9,0,60.68,Clear
India,11/05/2020,86.4,56.5,68.7,,84.7,0,,6.6,,0.8,2.3,59.39,Clear
India,11/06/2020,86.2,56.8,67.9,,85.1,0,,5.5,,0.9,0,60.55,Clear
India,11/07/2020,83.3,56.1,68.8,,82.2,0,,10.3,,0.8,0,59.9,Clear
India,11/08/2020,82.8,55.9,67.2,,82.2,0,,4.7,,0.6,0,64.65,Clear
India,11/09/2020,81.6,54.7,65.9,,81.7,0,,4.7,,0.5,2.3,71.23,Clear
India,11/10/2020,83,54.9,66,,83,0,,5.8,,0.5,0,71.93,Clear
India,11/11/2020,83.4,56.5,67.3,,83.7,0,,6.9,,1.1,0,69.21,Clear
India,11/12/2020,82.7,56.4,68.6,,82.5,0,,4.7,,1.3,0,67.1,Clear
India,11/13/2020,85.6,57.2,68.3,,84.4,0,,5.2,,1.2,0,68.01,Clear
India,11/14/2020,82.2,54.5,66.6,,83.4,0,,3.4,,0.7,0,73.02,Clear
India,11/15/2020,84,56.1,68.6,,83.6,0.02,,9.2,,0.8,29.7,70.43,"Rain, Partially cloudy"
India,11/16/2020,76.8,63.9,69,,,0,,9.3,,1.5,70,79.59,Partially cloudy
India,11/17/2020,78.1,57.2,67,,,0,,8.1,,1.5,32,72.29,Partially cloudy
India,11/18/2020,76.1,55.7,64,,,0,,5.8,,1.3,9.2,69,Clear
India,11/19/2020,77,53.2,63.1,,,0,,5.8,,1.4,0,65.33,Clear
India,11/20/2020,76.7,50.7,62.5,,,0,,10.3,,1.4,0,63.64,Clear
India,11/21/2020,75.2,48.2,61,46.3,,0,,11.4,23,1.3,0,63.04,Clear
India,11/22/2020,74.8,48.9,59.5,49.4,,0,,8.9,,1.4,15.7,60.59,Clear
India,11/23/2020,73.3,48.1,59.6,,,0,,4.7,,1.3,40.2,60.48,Partially cloudy
India,11/24/2020,75.1,49.9,65,,,0,,5.8,,1.1,59.9,52.2,Partially cloudy
India,11/25/2020,73.3,57.1,63.6,,,0,,6.9,,0.7,73.8,60.32,Partially cloudy
India,11/26/2020,75.1,60.7,67,,,0,,8.1,,1.6,79.1,61.98,Overcast
India,11/27/2020,75.1,53.5,64.3,,,0,,8.1,,1.9,,61.56,Clear
India,11/28/2020,76.9,53.5,63.6,,,0,,10.3,,1.7,,61.54,Clear
India,11/29/2020,75.1,49.9,61.4,,,0,,5.8,,1.6,,61.51,Clear
India,11/30/2020,69.7,48.1,55.3,,,0,,5.8,,1.2,,74.23,Clear
